Tanggal,Curah_Hujan
2024-01-01,4.11
2024-01-02,31.93
2024-01-03,35.45
2024-01-04,1.88
2024-01-05,21.2
2024-01-06,41.19
2024-01-07,21.52
2024-01-08,16.17
2024-01-09,29.58
2024-01-10,65.46
2024-01-11,27.11
2024-01-12,18.47
2024-01-13,5.74
2024-01-14,7.52
2024-01-15,1.75
2024-01-16,12.96
2024-01-17,19.54
2024-01-18,15.37
2024-01-19,42.22
2024-01-20,4.52
2024-01-21,0.83
2024-01-22,0.82
2024-01-23,3.39
2024-01-24,4.02
2024-01-25,0.9
2024-01-26,2.04
2024-01-27,17.63
2024-01-28,12.99
2024-01-29,12.17
2024-01-30,16.2
2024-01-31,1.88
2024-02-01,11.14
2024-02-02,6.98
2024-02-03,17.67
2024-02-04,0.67
2024-02-05,2.21
2024-02-06,4.04
2024-02-07,7.34
2024-02-08,12.57
2024-02-09,16.31
2024-02-10,63.4
2024-02-11,6.52
2024-02-12,4.1
2024-02-13,4.46
2024-02-14,6.54
2024-02-15,14.3
2024-02-16,38.13
2024-02-17,18.13
2024-02-18,7.42
2024-02-19,19.4
2024-02-20,20.22
2024-02-21,54.76
2024-02-22,6.49
2024-02-23,5.78
2024-02-24,5.32
2024-02-25,4.32
2024-02-26,0.72
2024-02-27,2.13
2024-02-28,5.43
2024-02-29,3.35
2024-03-01,7.97
2024-03-02,20.22
2024-03-03,24.84
2024-03-04,14.57
2024-03-05,15.43
2024-03-06,9.76
2024-03-07,100.4
2024-03-08,38.49
2024-03-09,24.79
2024-03-10,7.79
2024-03-11,2.24
2024-03-12,1.86
2024-03-13,0.0
2024-03-14,0.05
2024-03-15,1.0
2024-03-16,2.16
2024-03-17,1.07
2024-03-18,1.61
2024-03-19,1.62
2024-03-20,0.24
2024-03-21,1.63
2024-03-22,0.93
2024-03-23,5.48
2024-03-24,4.23
2024-03-25,23.8
2024-03-26,4.97
2024-03-27,0.55
2024-03-28,5.54
2024-03-29,5.91
2024-03-30,8.31
2024-03-31,22.32
2024-04-01,61.86
2024-04-02,31.63
2024-04-03,12.5
2024-04-04,4.62
2024-04-05,10.99
2024-04-06,20.04
2024-04-07,6.39
2024-04-08,8.5
2024-04-09,15.14
2024-04-10,18.15
2024-04-11,7.3
2024-04-12,3.95
2024-04-13,3.49
2024-04-14,7.74
2024-04-15,20.87
2024-04-16,28.02
2024-04-17,8.24
2024-04-18,8.11
2024-04-19,2.12
2024-04-20,19.36
2024-04-21,7.76
2024-04-22,6.69
2024-04-23,32.13
2024-04-24,1.85
2024-04-25,24.2
2024-04-26,27.96
2024-04-27,106.39
2024-04-28,10.57
2024-04-29,21.28
2024-04-30,28.78
2024-05-01,66.17
2024-05-02,5.93
2024-05-03,22.64
2024-05-04,52.19
2024-05-05,5.48
2024-05-06,4.53
2024-05-07,17.64
2024-05-08,2.6
2024-05-09,1.47
2024-05-10,4.38
2024-05-11,45.34
2024-05-12,33.93
2024-05-13,20.18
2024-05-14,15.39
2024-05-15,5.47
2024-05-16,19.17
2024-05-17,2.13
2024-05-18,7.0
2024-05-19,1.85
2024-05-20,31.36
2024-05-21,12.85
2024-05-22,71.39
2024-05-23,1.18
2024-05-24,2.16
2024-05-25,11.25
2024-05-26,2.93
2024-05-27,6.83
2024-05-28,0.71
2024-05-29,21.35
2024-05-30,4.13
2024-05-31,48.44
2024-06-01,28.4
2024-06-02,8.49
2024-06-03,5.91
2024-06-04,28.92
2024-06-05,16.98
2024-06-06,9.37
2024-06-07,18.72
2024-06-08,4.21
2024-06-09,2.74
2024-06-10,2.18
2024-06-11,20.12
2024-06-12,10.92
2024-06-13,11.82
2024-06-14,37.27
2024-06-15,25.23
2024-06-16,8.95
2024-06-17,6.43
2024-06-18,2.84
2024-06-19,1.28
2024-06-20,23.42
2024-06-21,41.88
2024-06-22,9.22
2024-06-23,2.5
2024-06-24,5.44
2024-06-25,1.25
2024-06-26,1.36
2024-06-27,8.77
2024-06-28,1.8
2024-06-29,4.11
2024-06-30,1.33
2024-07-01,1.45
2024-07-02,2.81
2024-07-03,9.09
2024-07-04,0.3
