Bulan_Tahun,Curah_Hujan
2018-01,10.54
2018-02,5.28
2018-03,8.77
2018-04,11.23
2018-05,7.23
2018-06,6.34
2018-07,9.33
2018-08,7.83
2018-09,6.54
2018-10,11.55
2018-11,11.98
2018-12,6.32
2019-01,6.74
2019-02,4.28
2019-03,9.53
2019-04,8.16
2019-05,4.57
2019-06,8.26
2019-07,5.49
2019-08,3.74
2019-09,2.26
2019-10,2.09
2019-11,1.9
2019-12,5.04
2020-01,7.77
2020-02,4.01
2020-03,8.3
2020-04,8.3
2020-05,8.37
2020-06,4.9
2020-07,7.92
2020-08,5.49
2020-09,14.12
2020-10,12.1
2020-11,12.81
2020-12,10.45
2021-01,9.2
2021-02,4.72
2021-03,9.98
2021-04,7.01
2021-05,7.6
2021-06,5.78
2021-07,4.68
2021-08,10.07
2021-09,8.0
2021-10,6.86
2021-11,9.16
2021-12,8.64
2022-01,5.73
2022-02,6.68
2022-03,8.13
2022-04,6.6
2022-05,7.57
2022-06,7.53
2022-07,6.11
2022-08,7.79
2022-09,9.95
2022-10,18.11
2022-11,14.65
2022-12,13.01
2023-01,11.59
2023-02,6.37
2023-03,6.25
2023-04,4.89
2023-05,6.14
2023-06,6.74
2023-07,13.73
2023-08,8.64
2023-09,2.2
2023-10,1.84
2023-11,2.56
2023-12,4.07
2024-01,9.39
2024-02,6.45
2024-03,7.72
2024-04,8.35
2024-05,7.48
2024-06,7.4
2024-07,3.13
2024-08,10.84
2024-09,9.29
2024-10,11.57
2024-11,11.48
2024-12,9.76
2025-01,7.92
2025-02,6.86
2025-03,7.43
2025-04,9.04
2025-05,5.18
2025-06,5.37
2025-07,6.36
2025-08,7.29
2025-09,11.83
2025-10,6.61
2025-11,14.66
2025-12,11.78
