Bulan_Tahun,Curah_Hujan
2018-01,4.33
2018-02,9.39
2018-03,11.16
2018-04,7.1
2018-05,10.02
2018-06,8.54
2018-07,5.41
2018-08,5.25
2018-09,6.23
2018-10,16.5
2018-11,13.47
2018-12,13.72
2019-01,7.7
2019-02,6.76
2019-03,7.51
2019-04,8.56
2019-05,6.02
2019-06,9.72
2019-07,2.93
2019-08,3.91
2019-09,2.63
2019-10,7.63
2019-11,10.87
2019-12,8.04
2020-01,7.31
2020-02,3.42
2020-03,5.95
2020-04,12.54
2020-05,8.77
2020-06,7.06
2020-07,8.22
2020-08,5.93
2020-09,9.73
2020-10,8.93
2020-11,14.04
2020-12,6.51
2021-01,9.4
2021-02,3.11
2021-03,14.05
2021-04,12.55
2021-05,10.94
2021-06,7.9
2021-07,4.48
2021-08,9.29
2021-09,13.32
2021-10,11.11
2021-11,9.28
2021-12,11.35
2022-01,8.24
2022-02,11.19
2022-03,8.32
2022-04,13.8
2022-05,8.37
2022-06,11.39
2022-07,7.98
2022-08,9.32
2022-09,8.94
2022-10,15.89
2022-11,11.66
2022-12,11.94
2023-01,7.39
2023-02,6.81
2023-03,9.73
2023-04,7.73
2023-05,7.13
2023-06,7.87
2023-07,6.38
2023-08,9.87
2023-09,6.94
2023-10,5.7
2023-11,11.81
2023-12,14.28
2024-01,12.71
2024-02,10.74
2024-03,7.97
2024-04,11.64
2024-05,13.79
2024-06,12.04
2024-07,3.29
2024-08,8.75
2024-09,6.14
2024-10,9.38
2024-11,12.72
2024-12,8.7
2025-01,14.29
2025-02,10.49
2025-03,8.91
2025-04,11.86
2025-05,6.63
2025-06,5.81
2025-07,4.42
2025-08,7.69
2025-09,9.18
2025-10,5.36
2025-11,11.92
2025-12,16.42
