Bulan_Tahun,Curah_Hujan,Time_Index,Kategori
2024-01-01,4.11,1,Rendah
2024-01-02,31.93,2,Rendah
2024-01-03,35.45,3,Rendah
2024-01-04,1.88,4,Rendah
2024-01-05,21.2,5,Rendah
2024-01-06,41.19,6,Sedang
2024-01-07,21.52,7,Rendah
2024-01-08,16.17,8,Rendah
2024-01-09,29.58,9,Rendah
2024-01-10,65.46,10,Sedang
2024-01-11,27.11,11,Rendah
2024-01-12,18.47,12,Rendah
2024-01-13,5.74,13,Rendah
2024-01-14,7.52,14,Rendah
2024-01-15,1.75,15,Rendah
2024-01-16,12.96,16,Rendah
2024-01-17,19.54,17,Rendah
2024-01-18,15.37,18,Rendah
2024-01-19,42.22,19,Sedang
2024-01-20,4.52,20,Rendah
2024-01-21,0.83,21,Rendah
2024-01-22,0.82,22,Rendah
2024-01-23,3.39,23,Rendah
2024-01-24,4.02,24,Rendah
2024-01-25,0.9,25,Rendah
2024-01-26,2.04,26,Rendah
2024-01-27,17.63,27,Rendah
2024-01-28,12.99,28,Rendah
2024-01-29,12.17,29,Rendah
2024-01-30,16.2,30,Rendah
2024-01-31,1.88,31,Rendah
2024-02-01,11.14,32,Rendah
2024-02-02,6.98,33,Rendah
2024-02-03,17.67,34,Rendah
2024-02-04,0.67,35,Rendah
2024-02-05,2.21,36,Rendah
2024-02-06,4.04,37,Rendah
2024-02-07,7.34,38,Rendah
2024-02-08,12.57,39,Rendah
2024-02-09,16.31,40,Rendah
2024-02-10,63.4,41,Sedang
2024-02-11,6.52,42,Rendah
2024-02-12,4.1,43,Rendah
2024-02-13,4.46,44,Rendah
2024-02-14,6.54,45,Rendah
2024-02-15,14.3,46,Rendah
2024-02-16,38.13,47,Sedang
2024-02-17,18.13,48,Rendah
2024-02-18,7.42,49,Rendah
2024-02-19,19.4,50,Rendah
2024-02-20,20.22,51,Rendah
2024-02-21,54.76,52,Sedang
2024-02-22,6.49,53,Rendah
2024-02-23,5.78,54,Rendah
2024-02-24,5.32,55,Rendah
2024-02-25,4.32,56,Rendah
2024-02-26,0.72,57,Rendah
2024-02-27,2.13,58,Rendah
2024-02-28,5.43,59,Rendah
2024-02-29,3.35,60,Rendah
2024-03-01,7.97,61,Rendah
2024-03-02,20.22,62,Rendah
2024-03-03,24.84,63,Rendah
2024-03-04,14.57,64,Rendah
2024-03-05,15.43,65,Rendah
2024-03-06,9.76,66,Rendah
2024-03-07,100.4,67,Tinggi
2024-03-08,38.49,68,Sedang
2024-03-09,24.79,69,Rendah
2024-03-10,7.79,70,Rendah
2024-03-11,2.24,71,Rendah
2024-03-12,1.86,72,Rendah
2024-03-13,0.0,73,Rendah
2024-03-14,0.05,74,Rendah
2024-03-15,1.0,75,Rendah
2024-03-16,2.16,76,Rendah
2024-03-17,1.07,77,Rendah
2024-03-18,1.61,78,Rendah
2024-03-19,1.62,79,Rendah
2024-03-20,0.24,80,Rendah
2024-03-21,1.63,81,Rendah
2024-03-22,0.93,82,Rendah
2024-03-23,5.48,83,Rendah
2024-03-24,4.23,84,Rendah
2024-03-25,23.8,85,Rendah
2024-03-26,4.97,86,Rendah
2024-03-27,0.55,87,Rendah
2024-03-28,5.54,88,Rendah
2024-03-29,5.91,89,Rendah
2024-03-30,8.31,90,Rendah
2024-03-31,22.32,91,Rendah
2024-04-01,61.86,92,Sedang
2024-04-02,31.63,93,Rendah
2024-04-03,12.5,94,Rendah
2024-04-04,4.62,95,Rendah
2024-04-05,10.99,96,Rendah
2024-04-06,20.04,97,Rendah
2024-04-07,6.39,98,Rendah
2024-04-08,8.5,99,Rendah
2024-04-09,15.14,100,Rendah
2024-04-10,18.15,101,Rendah
2024-04-11,7.3,102,Rendah
2024-04-12,3.95,103,Rendah
2024-04-13,3.49,104,Rendah
2024-04-14,7.74,105,Rendah
2024-04-15,20.87,106,Rendah
2024-04-16,28.02,107,Rendah
2024-04-17,8.24,108,Rendah
2024-04-18,8.11,109,Rendah
2024-04-19,2.12,110,Rendah
2024-04-20,19.36,111,Rendah
2024-04-21,7.76,112,Rendah
2024-04-22,6.69,113,Rendah
2024-04-23,32.13,114,Rendah
2024-04-24,1.85,115,Rendah
2024-04-25,24.2,116,Rendah
2024-04-26,27.96,117,Rendah
2024-04-27,106.39,118,Tinggi
